6,1,5,homeaki (敏),[新聞] 韓四大集團發佈394億美元對美投資計劃,Sun May 23 09:42:26 2021
0,1,-1,Prof68 (veritas),Re,Sun May 23 09:34:38 2021
8,1,7,Avicenna (avicenna),[問卦] 有沒有三級警戒要不要延長的八卦,Sun May 23 06:53:49 2021
0,0,0,fickleness (小舞揭),[問卦] 誰該為這次疫情大爆發負責？抓到沒？,Sun May 23 10:05:51 2021
11,4,7,lilskies (K他命),[問卦]  誰他媽在卡BNT疫苗,Sun May 23 02:20:33 2021
9,2,7,sevenzgod (7z),[問卦] 認知作戰是在騙一般老百姓嗎,Sun May 23 01:39:17 2021
4,2,2,Dreamer48763 (小剛),[問卦] 旅館投宿的客人不見的八卦,Sun May 23 02:51:34 2021
8,3,5,Messi100 (立馬幫幫忙!),[問卦] 朋友在擔心打完疫苗會變無垢巨人 怎辦？,Sun May 23 07:17:19 2021
4,0,4,hayate232 (CY),[問卦] 國軍 四個月兵這樣訓練可以提升戰力嗎?,Sun May 23 07:12:01 2021
7,1,6,mdm (37.5度的愛情),Re,Sun May 23 09:39:02 2021
8,1,7,bezbol (o.o),Re,Sun May 23 01:38:55 2021
3,0,3,ilw4e (可以吃嗎？),Re,Sun May 23 07:41:51 2021
3,0,3,ForeverZARD (あの微笑みを忘れないで),[問卦] 請問yahoo有跟八卦版合作?,Sun May 23 09:42:05 2021
16,16,0,bjqs0827 (sqangela),[問卦] 假如現在是國民黨還是民眾黨執政,Sun May 23 09:22:27 2021
5,1,4,p5287058 (Franz991),[問卦] 一鍵收回側翼&覺青粉專的讚,Sun May 23 09:46:39 2021
6,14,-8,zsa123 (沉默的熊),[新聞] 【本土+1】管光中掌「新職籃聯盟」　台,Sun May 23 08:46:40 2021
5,3,2,a1005100 (dab),[問卦] 這時間是不是最適合打手槍的時間?,Sun May 23 03:35:20 2021
4,2,2,nightone1022 (夜哥),[問卦] 有沒有一直拿武漢死亡率說嘴的八卦,Sun May 23 06:21:29 2021
4,1,3,amou1030 ( 無名),Re,Sun May 23 09:18:06 2021
19,1,18,qscxz (奈米哥),[問卦] 這時間不睡覺的卦,Sun May 23 02:36:57 2021
7,1,6,ccyaztfe (best_troll_tw),[問卦] 燒烤是不是很奢侈的小吃啊？,Sun May 23 09:29:27 2021
3,0,3,popo1234 (我很好騙),[問卦] 「開放討論」是側翼之語嗎？,Sun May 23 08:31:13 2021
25,17,8,Superxixai (洪粉吱已),[新聞] 昔日學運神鵰俠侶！她曾與鄭文燦譜出戀,Sun May 23 08:24:49 2021
0,0,0,lolic (lolic),Re,Sun May 23 10:02:29 2021
0,3,-3,moanda (藍衣雨女),[問卦] 半夜武嶺亭群聚？,Sun May 23 02:14:27 2021
33,7,26,bbob (小海),[問卦] 歷史上最喜歡被高壓統治的一群人是誰?,Sun May 23 08:42:53 2021
27,11,16,mjj90138 (蔡包),[問卦] 剛剛怎麼了,Sun May 23 05:28:25 2021
3,7,-4,mean (低智商生活),Re,Sun May 23 03:24:41 2021
0,0,0,Gothel (gothel),[問卦] 有沒有林聖義人雄的八卦,Sun May 23 10:00:57 2021
6,0,6,xampp (xampp),Re,Sun May 23 09:15:16 2021
12,5,7,str8g (),[新聞] 1958年台海危機 美考慮核武攻擊中國捍衛,Sun May 23 09:10:43 2021
18,1,17,whiteadam (blue eyes blue),Re,Sun May 23 01:35:01 2021
0,0,0,elless (鬼島歌王廢慾清),Re,Sun May 23 08:14:17 2021
